liaison,Service,annee,mois,Durée moyenne du trajet,Nombre de circulations prévues,taux_regularite,liaison_encoded,service_encoded
GRENOBLE - PARIS LYON,National,2018,1,183,245,0.9061224489795918,19,1
PARIS LYON - ITALIE,International,2018,1,394,94,0.7659574468085106,71,0
MARSEILLE ST CHARLES - LYON PART DIEU,National,2018,1,106,557,0.8922800718132855,40,1
PARIS NORD - DUNKERQUE,National,2018,1,116,271,0.8929889298892989,104,1
ANNECY - PARIS LYON,National,2018,1,224,198,0.8080808080808081,3,1
TOULOUSE MATABIAU - PARIS MONTPARNASSE,National,2018,1,257,184,0.8586956521739131,123,1
REIMS - PARIS EST,National,2018,1,46,230,0.7304347826086957,112,1
LYON PART DIEU - MARNE LA VALLEE,National,2018,1,109,316,0.7974683544303798,30,1
MONTPELLIER - PARIS LYON,National,2018,1,206,340,0.8294117647058823,47,1
FRANCFORT - PARIS EST,International,2018,1,224,177,0.8531073446327684,17,0
AIX EN PROVENCE TGV - PARIS LYON,National,2018,1,188,402,0.9079601990049752,0,1
POITIERS - PARIS MONTPARNASSE,National,2018,1,94,472,0.8114406779661016,110,1
DOUAI - PARIS NORD,National,2018,1,77,197,0.8121827411167513,15,1
LILLE - PARIS NORD,National,2018,1,63,579,0.8255613126079447,28,1
LILLE - MARSEILLE ST CHARLES,National,2018,1,307,190,0.8157894736842105,27,1
MACON LOCHE - PARIS LYON,National,2018,1,99,225,0.7822222222222223,35,1
PARIS LYON - MARSEILLE ST CHARLES,National,2018,1,202,482,0.9107883817427386,76,1
BORDEAUX ST JEAN - PARIS MONTPARNASSE,National,2018,1,141,870,0.8310344827586207,9,1
BARCELONA - PARIS LYON,International,2018,1,390,35,0.8,6,0
MADRID - MARSEILLE ST CHARLES,International,2018,1,481,16,0.8125,36,0
LE MANS - PARIS MONTPARNASSE,National,2018,1,56,406,0.7413793103448276,25,1
ST MALO - PARIS MONTPARNASSE,National,2018,1,158,92,0.8913043478260869,117,1
PARIS LYON - LAUSANNE,International,2018,1,222,151,0.8675496688741722,72,0
PARIS MONTPARNASSE - LA ROCHELLE VILLE,National,2018,1,166,226,0.915929203539823,90,1
PARIS MONTPARNASSE - NANTES,National,2018,1,124,508,0.8858267716535433,93,1
VANNES - PARIS MONTPARNASSE,National,2018,1,156,278,0.8669064748201438,128,1
LYON PART DIEU - LILLE,National,2018,1,189,296,0.7736486486486487,29,1
PARIS LYON - BESANCON FRANCHE COMTE TGV,National,2018,1,128,202,0.8861386138613861,66,1
ST PIERRE DES CORPS - PARIS MONTPARNASSE,National,2018,1,61,410,0.7219512195121951,118,1
TOURS - PARIS MONTPARNASSE,National,2018,1,75,194,0.8195876288659794,126,1
PARIS VAUGIRARD - NANTES,National,2018,1,140,62,0.8387096774193549,107,1
RENNES - PARIS VAUGIRARD,National,2018,1,111,31,0.935483870967742,115,1
PARIS EST - METZ,National,2018,1,84,310,0.9225806451612903,56,1
PARIS NORD - DOUAI,National,2018,1,69,192,0.84375,103,1
PERPIGNAN - PARIS LYON,National,2018,1,305,166,0.7831325301204819,109,1
PARIS VAUGIRARD - BORDEAUX ST JEAN,National,2018,1,165,63,0.9206349206349207,106,1
DIJON VILLE - PARIS LYON,National,2018,1,98,451,0.9068736141906873,14,1
PARIS LYON - PERPIGNAN,National,2018,1,308,145,0.8413793103448276,81,1
PARIS MONTPARNASSE - VANNES,National,2018,1,152,253,0.8458498023715415,101,1
PARIS LYON - AVIGNON TGV,National,2018,1,159,462,0.8614718614718615,63,1
VALENCE ALIXAN TGV - PARIS LYON,National,2018,1,132,280,0.8285714285714285,127,1
STUTTGART - PARIS EST,International,2018,1,185,154,0.922077922077922,121,0
PARIS MONTPARNASSE - LAVAL,National,2018,1,84,217,0.695852534562212,91,1
MARSEILLE ST CHARLES - PARIS LYON,National,2018,1,202,431,0.9071925754060325,43,1
BESANCON FRANCHE COMTE TGV - PARIS LYON,National,2018,1,131,205,0.926829268292683,8,1
PARIS LYON - CHAMBERY CHALLES LES EAUX,National,2018,1,186,271,0.8671586715867159,67,1
LE CREUSOT MONTCEAU MONTCHANIN - PARIS LYON,National,2018,1,81,224,0.7991071428571428,24,1
MARNE LA VALLEE - LYON PART DIEU,National,2018,1,109,335,0.8238805970149254,37,1
PARIS LYON - NICE VILLE,National,2018,1,349,196,0.8724489795918368,79,1
PARIS MONTPARNASSE - ANGERS SAINT LAUD,National,2018,1,90,385,0.8649350649350649,86,1
RENNES - PARIS MONTPARNASSE,National,2018,1,99,599,0.7529215358931552,114,1
NANCY - PARIS EST,National,2018,1,93,306,0.892156862745098,49,1
PARIS LYON - GRENOBLE,National,2018,1,180,262,0.8473282442748091,70,1
ITALIE - PARIS LYON,International,2018,1,439,95,0.6421052631578947,20,0
PARIS LYON - MONTPELLIER,National,2018,1,209,294,0.8741496598639455,77,1
PARIS MONTPARNASSE - QUIMPER,National,2018,1,220,248,0.8951612903225806,95,1
NANTES - STRASBOURG,National,2018,1,303,39,0.8717948717948718,52,1
BORDEAUX ST JEAN - TOURCOING,National,2018,1,301,31,0.9032258064516129,11,1
PARIS MONTPARNASSE - ANGOULEME,National,2018,1,126,239,0.8828451882845189,87,1
PARIS EST - REIMS,National,2018,1,45,218,0.9036697247706422,58,1
LAUSANNE - PARIS LYON,International,2018,1,219,144,0.8541666666666666,22,0
METZ - PARIS EST,National,2018,1,85,307,0.7915309446254072,45,1
PARIS NORD - LILLE,National,2018,1,64,568,0.829225352112676,105,1
LYON PART DIEU - RENNES,National,2018,1,232,88,0.7727272727272727,34,1
PARIS MONTPARNASSE - BREST,National,2018,1,223,281,0.9323843416370107,89,1
PARIS LYON - BELLEGARDE (AIN),National,2018,1,160,231,0.722943722943723,65,1
PARIS MONTPARNASSE - ST PIERRE DES CORPS,National,2018,1,61,391,0.8184143222506394,98,1
LILLE - LYON PART DIEU,National,2018,1,190,292,0.8767123287671232,26,1
NICE VILLE - PARIS LYON,National,2018,1,346,197,0.8324873096446701,53,1
PARIS LYON - ZURICH,International,2018,1,241,153,0.8169934640522876,85,0
PARIS MONTPARNASSE - TOURS,National,2018,1,72,186,0.7419354838709677,100,1
NANTES - PARIS VAUGIRARD,National,2018,1,143,62,0.9032258064516129,51,1
PARIS LYON - BARCELONA,International,2018,1,387,62,0.8709677419354839,64,0
PARIS LYON - NIMES,National,2018,1,177,294,0.8163265306122449,80,1
SAINT ETIENNE CHATEAUCREUX - PARIS LYON,National,2018,1,168,118,0.8898305084745762,116,1
MARSEILLE ST CHARLES - LILLE,National,2018,1,307,187,0.8021390374331551,39,1
LYON PART DIEU - PARIS LYON,National,2018,1,120,659,0.8710166919575114,33,1
AVIGNON TGV - PARIS LYON,National,2018,1,159,538,0.8364312267657993,5,1
LA ROCHELLE VILLE - PARIS MONTPARNASSE,National,2018,1,165,222,0.8468468468468469,21,1
PARIS MONTPARNASSE - ST MALO,National,2018,1,156,102,0.8725490196078431,97,1
QUIMPER - PARIS MONTPARNASSE,National,2018,1,223,256,0.91796875,111,1
RENNES - LYON PART DIEU,National,2018,1,233,99,0.9393939393939394,113,1
PARIS EST - STRASBOURG,National,2018,1,112,494,0.97165991902834,59,1
STRASBOURG - PARIS EST,National,2018,1,112,507,0.9092702169625246,120,1
MULHOUSE VILLE - PARIS LYON,National,2018,1,168,328,0.926829268292683,48,1
GENEVE - PARIS LYON,International,2018,1,194,230,0.8434782608695652,18,0
BREST - PARIS MONTPARNASSE,National,2018,1,225,284,0.9330985915492958,12,1
MONTPELLIER - LYON PART DIEU,National,2018,1,112,299,0.7926421404682275,46,1
PARIS EST - STUTTGART,International,2018,1,186,155,0.9032258064516129,60,0
PARIS LYON - DIJON VILLE,National,2018,1,96,468,0.9145299145299145,68,1
LYON PART DIEU - MONTPELLIER,National,2018,1,112,303,0.8382838283828383,32,1
PARIS LYON - MULHOUSE VILLE,National,2018,1,168,299,0.8361204013377926,78,1
PARIS LYON - VALENCE ALIXAN TGV,National,2018,1,130,323,0.8637770897832817,84,1
PARIS MONTPARNASSE - BORDEAUX ST JEAN,National,2018,1,143,775,0.8980645161290323,88,1
PARIS MONTPARNASSE - RENNES,National,2018,1,97,590,0.8186440677966101,96,1
ANGOULEME - PARIS MONTPARNASSE,National,2018,1,125,270,0.7925925925925926,2,1
NANTES - PARIS MONTPARNASSE,National,2018,1,128,525,0.84,50,1
PARIS MONTPARNASSE - TOULOUSE MATABIAU,National,2018,1,257,182,0.8846153846153846,99,1
ANGERS SAINT LAUD - PARIS MONTPARNASSE,National,2018,1,91,393,0.8040712468193384,1,1
PARIS EST - NANCY,National,2018,1,94,299,0.9565217391304348,57,1
NIMES - PARIS LYON,National,2018,1,176,341,0.7888563049853372,54,1
PARIS LYON - LE CREUSOT MONTCEAU MONTCHANIN,National,2018,1,78,208,0.8269230769230769,73,1
PARIS LYON - AIX EN PROVENCE TGV,National,2018,1,186,424,0.8891509433962264,61,1
PARIS LYON - ANNECY,National,2018,1,225,199,0.8944723618090452,62,1
PARIS LYON - SAINT ETIENNE CHATEAUCREUX,National,2018,1,168,112,0.8125,82,1
PARIS LYON - TOULON,National,2018,1,239,221,0.8642533936651584,83,1
PARIS LYON - GENEVE,International,2018,1,194,207,0.8309178743961353,69,0
MARSEILLE ST CHARLES - TOURCOING,National,2018,1,299,31,0.9032258064516129,44,1
PARIS EST - FRANCFORT,International,2018,1,226,177,0.8870056497175142,55,0
TOURCOING - MARSEILLE ST CHARLES,National,2018,1,309,31,0.967741935483871,125,1
MARNE LA VALLEE - MARSEILLE ST CHARLES,National,2018,1,217,323,0.848297213622291,38,1
LAVAL - PARIS MONTPARNASSE,National,2018,1,86,208,0.7355769230769231,23,1
ARRAS - PARIS NORD,National,2018,1,51,312,0.7948717948717949,4,1
PARIS LYON - MACON LOCHE,National,2018,1,95,227,0.8810572687224669,75,1
PARIS VAUGIRARD - RENNES,National,2018,1,122,31,0.935483870967742,108,1
MARSEILLE ST CHARLES - MARNE LA VALLEE,National,2018,1,214,312,0.8525641025641025,42,1
PARIS MONTPARNASSE - LE MANS,National,2018,1,54,441,0.8526077097505669,92,1
LYON PART DIEU - MARSEILLE ST CHARLES,National,2018,1,107,539,0.7884972170686456,31,1
DUNKERQUE - PARIS NORD,National,2018,1,116,245,0.8857142857142857,16,1
TOURCOING - BORDEAUX ST JEAN,National,2018,1,286,31,0.7741935483870968,124,1
CHAMBERY CHALLES LES EAUX - PARIS LYON,National,2018,1,184,278,0.7517985611510791,13,1
PARIS LYON - LYON PART DIEU,National,2018,1,119,630,0.9031746031746032,74,1
PARIS MONTPARNASSE - POITIERS,National,2018,1,93,506,0.8972332015810277,94,1
STRASBOURG - NANTES,National,2018,1,286,40,0.875,119,1
BELLEGARDE (AIN) - PARIS LYON,National,2018,1,162,259,0.7953667953667953,7,1
TOULON - PARIS LYON,National,2018,1,241,273,0.8461538461538461,122,1
PARIS NORD - ARRAS,National,2018,1,51,287,0.8606271777003485,102,1
ZURICH - PARIS LYON,International,2018,1,176,122,0.9344262295081968,129,0
BORDEAUX ST JEAN - PARIS VAUGIRARD,National,2018,1,144,62,0.8548387096774194,10,1
MARSEILLE ST CHARLES - MADRID,International,2018,1,464,15,0.8,41,0
PARIS MONTPARNASSE - QUIMPER,National,2018,2,221,237,0.7932489451476793,95,1
PARIS EST - STUTTGART,International,2018,2,187,137,0.7226277372262774,60,0
PARIS EST - METZ,National,2018,2,84,275,0.7672727272727273,56,1
PARIS VAUGIRARD - BORDEAUX ST JEAN,National,2018,2,164,54,0.7962962962962963,106,1
PARIS LYON - MULHOUSE VILLE,National,2018,2,168,262,0.8969465648854962,78,1
RENNES - LYON PART DIEU,National,2018,2,234,83,0.8072289156626506,113,1
QUIMPER - PARIS MONTPARNASSE,National,2018,2,222,220,0.8,111,1
STRASBOURG - PARIS EST,National,2018,2,112,455,0.7318681318681319,120,1
TOURS - PARIS MONTPARNASSE,National,2018,2,75,177,0.7005649717514124,126,1
BORDEAUX ST JEAN - TOURCOING,National,2018,2,301,28,0.6428571428571428,11,1
AIX EN PROVENCE TGV - PARIS LYON,National,2018,2,188,356,0.8876404494382022,0,1
LAUSANNE - PARIS LYON,International,2018,2,220,128,0.9140625,22,0
NANCY - PARIS EST,National,2018,2,93,276,0.7934782608695652,49,1
DUNKERQUE - PARIS NORD,National,2018,2,116,228,0.8377192982456141,16,1
LYON PART DIEU - LILLE,National,2018,2,192,265,0.679245283018868,29,1
PARIS LYON - AIX EN PROVENCE TGV,National,2018,2,186,398,0.8793969849246231,61,1
PARIS MONTPARNASSE - RENNES,National,2018,2,98,547,0.7148080438756856,96,1
RENNES - PARIS MONTPARNASSE,National,2018,2,98,567,0.6296296296296297,114,1
MARSEILLE ST CHARLES - LILLE,National,2018,2,309,167,0.7005988023952097,39,1
PARIS LYON - LYON PART DIEU,National,2018,2,119,583,0.8987993138936535,74,1
RENNES - PARIS VAUGIRARD,National,2018,2,111,27,0.8148148148148149,115,1
MACON LOCHE - PARIS LYON,National,2018,2,99,205,0.7073170731707317,35,1
METZ - PARIS EST,National,2018,2,85,275,0.5890909090909091,45,1
LILLE - MARSEILLE ST CHARLES,National,2018,2,306,168,0.7678571428571428,27,1
MONTPELLIER - LYON PART DIEU,National,2018,2,112,259,0.7181467181467182,46,1
MULHOUSE VILLE - PARIS LYON,National,2018,2,169,294,0.935374149659864,48,1
PARIS LYON - LE CREUSOT MONTCEAU MONTCHANIN,National,2018,2,78,188,0.7712765957446809,73,1
TOULOUSE MATABIAU - PARIS MONTPARNASSE,National,2018,2,257,168,0.7619047619047619,123,1
NANTES - STRASBOURG,National,2018,2,303,36,0.75,52,1
TOULON - PARIS LYON,National,2018,2,241,247,0.8663967611336032,122,1
PARIS MONTPARNASSE - TOURS,National,2018,2,72,171,0.6900584795321638,100,1
PARIS LYON - LAUSANNE,International,2018,2,223,135,0.9185185185185185,72,0
LILLE - LYON PART DIEU,National,2018,2,189,279,0.8422939068100359,26,1
PARIS EST - NANCY,National,2018,2,94,268,0.8582089552238806,57,1
PARIS LYON - TOULON,National,2018,2,239,200,0.79,83,1
